"id","province","year","birth","eco","information","lnGDP","urban"
"2","天津市","2022","-0.874198361171328","0.696764441425416","0.276914171973674","1.70419831226116","1.8131464090981"
"2","天津市","2023","-0.892169824089756","0.700097015272808","0.247892262356253","1.19825419174283","1.84050747885257"
"3","河北省","2013","1.01580048908334","0.440415409640973","0.248014197933042","-1.33916163854815","-0.875067426589378"
"3","河北省","2014","1.05773390255967","0.48018849221972","0.217871161744289","-1.25741584550868","-0.777933815955997"
"3","河北省","2015","0.509604283547621","0.433187393706787","0.24937255190247","-1.15664382588884","-0.610392979028977"
"3","河北省","2016","0.830095372259585","0.46508104900612","0.303666990350015","-0.984246711762921","-0.451023331812095"
"3","河北省","2017","1.06372439019915","0.520259407150098","0.35135811100337","-0.819480182010552","-0.315391156364551"
"3","河北省","2018","0.482647089169979","0.450665276140831","0.40411820673653","-0.687384117355841","-0.200138273720992"
"3","河北省","2019","0.353851604921246","0.441175976461461","0.413442440361151","-0.517567565290742","-0.0958765723442385"
"3","河北省","2020","0.410761237496267","0.513069735926853","0.442189657110051","-0.454129043464166","-0.00164527709806468"
"3","河北省","2021","-0.748398120742333","0.477564112789353","0.495795993018424","-0.179789404760648","0.0763009143347384"
"3","河北省","2022","-0.493802396064604","0.489073280803001","0.485584430444586","-0.0588505987754818","0.113538571452096"
"3","河北省","2023","-0.493802396064604","0.529951402114788","0.507768307974076","0.551786203483936","0.194567358909988"
"4","山西省","2013","0.34786111728177","0.404158563474717","0.167734238304384","-1.30347208134268","-0.522352863685376"
"4","山西省","2014","0.380808799298887","0.42874924968592","0.153961445078311","-1.27541107499548","-0.41884434822357"
"4","山西省","2015","0.0992558802435169","0.505872138536584","0.158496776201013","-1.32153459158195","-0.306057271969278"
"4","山西省","2016","0.192108438655394","0.470164508292782","0.166129728292751","-1.29473785904401","-0.203556484516405"
"4","山西省","2017","0.422742212775219","0.468337374098238","0.199188454511899","-0.831553824738339","-0.107902360999108"
"4","山西省","2018","-0.00557765344731238","0.508095110901515","0.231121770344002","-0.595976603991282","-0.0165481728404961"
"4","山西省","2019","-0.15833508825395","0.434083406501474","0.235713233094713","-0.445885165943504","0.0870928377908176"
"4","山西省","2020","0.269984777968582","0.453533105079468","0.263557136992346","-0.32191899115217","0.177262482303218"
"4","山西省","2021","-0.775355315119975","0.432096363482286","0.291213528823357","0.27791518216931","0.241607178664738"
"4","山西省","2022","-1.01497482069901","0.547874605204429","0.293165610211118","0.554283829955006","0.279017114958322"
"4","山西省","2023","-1.01497482069901","0.554314267725232","0.306388738375803","0.554283829955006","0.353948733941011"
"5","内蒙古自治区","2013","-0.200268501730281","0.504557507762494","0.181154589061581","-0.55420618972376","-0.0190136391516934"
